feature,gain_total,gain_mean
mean_b,3360.5995412022457,336.0599541202246
ita_angle,1480.5822737083436,148.05822737083435
emb_431,1270.4465064406395,127.04465064406395
emb_505,786.8692403063178,78.68692403063179
std_a,745.0305016823113,74.50305016823113
emb_308,431.8526740819216,43.18526740819216
emb_450,337.0925654657185,33.70925654657185
emb_532,323.7713797092438,32.37713797092438
emb_544,321.25514912605286,32.12551491260528
emb_547,303.6548292962834,30.365482929628342
emb_487,288.3489829003811,28.834898290038108
emb_108,284.08069837093353,28.408069837093354
emb_285,278.6543998718262,27.86543998718262
emb_478,232.95387494564056,23.295387494564057
emb_252,207.5532922744751,20.75532922744751
emb_211,194.61611872911453,19.461611872911455
emb_10,163.37756283581257,16.337756283581257
emb_28,136.8761876374483,13.687618763744831
emb_344,135.46926695667207,13.546926695667207
emb_392,131.62428006529808,13.162428006529808
emb_315,128.99917510151863,12.899917510151862
emb_335,127.54335276223719,12.754335276223719
emb_548,100.99377453327179,10.099377453327179
emb_459,98.34828396141529,9.834828396141528
emb_103,97.38392513990402,9.738392513990402
emb_420,96.84109115600586,9.684109115600586
emb_164,95.3188408613205,9.531884086132049
emb_536,93.51044263737276,9.351044263737275
emb_483,89.38201380590908,8.938201380590908
emb_297,86.67398776113987,8.667398776113988
emb_551,83.74367105960846,8.374367105960847
emb_408,83.53885317128152,8.353885317128151
std_b,83.05867993831635,8.305867993831635
emb_21,76.8695475384593,7.68695475384593
emb_6,73.37637996673584,7.337637996673584
emb_351,70.68041898310184,7.0680418983101845
emb_168,68.31667470932007,6.831667470932007
emb_58,67.99602860212326,6.799602860212326
emb_250,64.81754633784294,6.481754633784294
emb_107,60.462219417095184,6.046221941709518
emb_214,59.83459538221359,5.983459538221359
emb_61,57.73411271908117,5.773411271908117
emb_176,56.413354666903615,5.641335466690362
emb_190,55.64694359898567,5.564694359898567
emb_104,54.177230536937714,5.417723053693772
emb_149,53.4831999540329,5.34831999540329
emb_102,52.512974202632904,5.25129742026329
emb_513,51.829989433288574,5.182998943328857
emb_137,49.76912719011307,4.976912719011307
emb_207,49.014400243759155,4.9014400243759155
emb_225,47.32206006348133,4.732206006348133
emb_564,47.001978516578674,4.700197851657867
